run,flat_displacement,sharp_displacement,total_displacement,final_train_loss,final_test_loss,generalization_gap
177,0.0013011847622692585,0.27019137144088745,3.733302593231201,1.001448631286621,1.1402011513710022,0.1387525200843811
178,0.0011771792778745294,0.27187931537628174,3.7218332290649414,1.0054004192352295,1.1509913206100464,0.1455909013748169
179,0.0014045808929949999,0.24520859122276306,3.7440619468688965,1.001554250717163,1.1380412578582764,0.13648700714111328
180,0.0012069097720086575,0.26446962356567383,3.7415637969970703,1.0007587671279907,1.1395452618598938,0.13878649473190308
181,0.0013269009068608284,0.2514340877532959,3.7056634426116943,1.0048561096191406,1.14017915725708,0.13532304763793945
182,0.001028895378112793,0.29447489976882935,3.7380340099334717,1.0022494792938232,1.1492239832878113,0.14697450399398804
183,0.001052848412655294,0.22898408770561218,3.7370502948760986,1.0018277168273926,1.1438943147659302,0.1420665979385376
184,0.001415539183653891,0.270839661359787,3.7368595600128174,1.0023283958435059,1.1442824602127075,0.14195406436920166
185,0.0011696688598021865,0.2498345971107483,3.751675605773926,0.9995319843292236,1.142859935760498,0.14332795143127441
186,0.0014089796459302306,0.24899812042713165,3.7539305686950684,1.0023834705352783,1.1385850310325623,0.13620156049728394
187,0.0011776491301134229,0.2613309323787689,3.7478187084198,1.0051897764205933,1.1471754312515259,0.14198565483093262
188,0.001106573035940528,0.2741060256958008,3.7575838565826416,1.0005981922149658,1.1404802203178406,0.13988202810287476
189,0.0012076350394636393,0.2921642065048218,3.746767282485962,1.0017338991165161,1.1471616625785828,0.14542776346206665
190,0.0011519944528117776,0.25883063673973083,3.741459369659424,1.0048136711120605,1.1471704840660095,0.14235681295394897
191,0.0011638554278761148,0.30555540323257446,3.739938497543335,1.0033648014068604,1.1469975709915161,0.14363276958465576
192,0.0014585225144401193,0.2593829333782196,3.733327865600586,1.0048415660858154,1.1409767866134644,0.13613522052764893
193,0.0013286275789141655,0.2856482267379761,3.74234938621521,1.001020073890686,1.1456725001335144,0.14465242624282837
194,0.0011634693946689367,0.26759999990463257,3.742717742919922,0.9997241497039795,1.1427672505378723,0.14304310083389282
195,0.0013806518400087953,0.2897026240825653,3.7237579822540283,1.005163550376892,1.1461886167526245,0.14102506637573242
196,0.0012877288972958922,0.26811110973358154,3.736907720565796,1.001811146736145,1.1469234228134155,0.1451122760772705
197,0.001074598403647542,0.26279446482658386,3.7616124153137207,0.998934268951416,1.1426314115524292,0.14369714260101318
198,0.0012035223189741373,0.2520526349544525,3.7575104236602783,0.9999904632568359,1.1456596851348877,0.14566922187805176
199,0.001410954282619059,0.2679024338722229,3.745400905609131,1.0003982782363892,1.1388163566589355,0.1384180784225464
200,0.0010094671742990613,0.259574830532074,3.728851079940796,1.0029271841049194,1.1365437507629395,0.13361656665802002
201,0.0011881820391863585,0.26445186138153076,3.732583999633789,1.0022094249725342,1.1473949551582336,0.14518553018569946
202,0.0013341812882572412,0.2908749580383301,3.74739670753479,1.0020729303359985,1.1430387496948242,0.14096581935882568
203,0.0011938478564843535,0.2756015956401825,3.7323367595672607,1.0016344785690308,1.1457591652870178,0.14412468671798706
204,0.00115093938075006,0.2630831301212311,3.76153826713562,0.9979126453399658,1.1394816637039185,0.14156901836395264
205,0.0012540885945782065,0.2598460018634796,3.7318456172943115,1.0027607679367065,1.150099277496338,0.14733850955963135
206,0.0012376831145957112,0.2527099847793579,3.7341854572296143,1.0025875568389893,1.145885944366455,0.14329838752746582
207,0.0013636965304613113,0.28006595373153687,3.7466883659362793,1.0019913911819458,1.1504532098770142,0.14846181869506836
208,0.0011090593179687858,0.2576267123222351,3.7105138301849365,1.0039979219436646,1.1474915146827698,0.14349359273910522
209,0.0014229820808395743,0.2806774973869324,3.753727674484253,0.9992255568504333,1.1406992077827454,0.141473650932312
210,0.001225777785293758,0.28026026487350464,3.7442355155944824,1.0037875175476074,1.1468515396118164,0.14306402206420898
211,0.001320141484029591,0.2769521176815033,3.72940993309021,1.0038238763809204,1.1474592685699463,0.14363539218902588
212,0.0013421160401776433,0.30077090859413147,3.705014944076538,1.0054354667663574,1.1438246965408325,0.1383892297744751
213,0.0011284693609923124,0.2757190465927124,3.7536940574645996,1.0023821592330933,1.1422574520111084,0.13987529277801514
214,0.0013013085117563605,0.2534348964691162,3.7381157875061035,1.0008785724639893,1.138801634311676,0.13792306184768677
215,0.0011440189555287361,0.2884315550327301,3.738889217376709,1.001912236213684,1.1500805616378784,0.14816832542419434
216,0.0014719291357323527,0.258107990026474,3.743152618408203,1.001954197883606,1.1429990530014038,0.14104485511779785
217,0.001299837720580399,0.27572202682495117,3.736417055130005,1.0005748271942139,1.1430964469909668,0.14252161979675293
